ParticleID,Vignette,Class
20190514_FISHI_152_2mm_rep2_AO_000007_particle_46,20190514_FISHI_152_2mm_rep2_AO_000007_vign000046.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000007_particle_47,20190514_FISHI_152_2mm_rep2_AO_000007_vign000047.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000007_particle_48,20190514_FISHI_152_2mm_rep2_AO_000007_vign000048.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000008_particle_49,20190514_FISHI_152_2mm_rep2_AO_000008_vign000049.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000008_particle_50,20190514_FISHI_152_2mm_rep2_AO_000008_vign000050.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000008_particle_51,20190514_FISHI_152_2mm_rep2_AO_000008_vign000051.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_52,20190514_FISHI_152_2mm_rep2_AO_000009_vign000052.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_53,20190514_FISHI_152_2mm_rep2_AO_000009_vign000053.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_54,20190514_FISHI_152_2mm_rep2_AO_000009_vign000054.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_55,20190514_FISHI_152_2mm_rep2_AO_000009_vign000055.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_56,20190514_FISHI_152_2mm_rep2_AO_000009_vign000056.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_57,20190514_FISHI_152_2mm_rep2_AO_000009_vign000057.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_58,20190514_FISHI_152_2mm_rep2_AO_000009_vign000058.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_particle_59,20190514_FISHI_152_2mm_rep2_AO_000009_vign000059.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_60,20190514_FISHI_152_2mm_rep2_AO_000010_vign000060.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000010_particle_61,20190514_FISHI_152_2mm_rep2_AO_000010_vign000061.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_62,20190514_FISHI_152_2mm_rep2_AO_000010_vign000062.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_63,20190514_FISHI_152_2mm_rep2_AO_000010_vign000063.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_64,20190514_FISHI_152_2mm_rep2_AO_000010_vign000064.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_65,20190514_FISHI_152_2mm_rep2_AO_000010_vign000065.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_66,20190514_FISHI_152_2mm_rep2_AO_000010_vign000066.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_67,20190514_FISHI_152_2mm_rep2_AO_000010_vign000067.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000010_particle_68,20190514_FISHI_152_2mm_rep2_AO_000010_vign000068.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000011_particle_69,20190514_FISHI_152_2mm_rep2_AO_000011_vign000069.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000011_particle_70,20190514_FISHI_152_2mm_rep2_AO_000011_vign000070.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000011_particle_71,20190514_FISHI_152_2mm_rep2_AO_000011_vign000071.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000011_particle_72,20190514_FISHI_152_2mm_rep2_AO_000011_vign000072.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000011_particle_73,20190514_FISHI_152_2mm_rep2_AO_000011_vign000073.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000012_particle_74,20190514_FISHI_152_2mm_rep2_AO_000012_vign000074.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000012_particle_75,20190514_FISHI_152_2mm_rep2_AO_000012_vign000075.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000012_particle_76,20190514_FISHI_152_2mm_rep2_AO_000012_vign000076.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000012_particle_77,20190514_FISHI_152_2mm_rep2_AO_000012_vign000077.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000012_particle_78,20190514_FISHI_152_2mm_rep2_AO_000012_vign000078.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000013_particle_79,20190514_FISHI_152_2mm_rep2_AO_000013_vign000079.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000013_particle_80,20190514_FISHI_152_2mm_rep2_AO_000013_vign000080.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000013_particle_81,20190514_FISHI_152_2mm_rep2_AO_000013_vign000081.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_82,20190514_FISHI_152_2mm_rep2_AO_000014_vign000082.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_83,20190514_FISHI_152_2mm_rep2_AO_000014_vign000083.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000014_particle_84,20190514_FISHI_152_2mm_rep2_AO_000014_vign000084.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_85,20190514_FISHI_152_2mm_rep2_AO_000014_vign000085.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_86,20190514_FISHI_152_2mm_rep2_AO_000014_vign000086.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_87,20190514_FISHI_152_2mm_rep2_AO_000014_vign000087.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000014_particle_88,20190514_FISHI_152_2mm_rep2_AO_000014_vign000088.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_89,20190514_FISHI_152_2mm_rep2_AO_000015_vign000089.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_90,20190514_FISHI_152_2mm_rep2_AO_000015_vign000090.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_91,20190514_FISHI_152_2mm_rep2_AO_000015_vign000091.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_92,20190514_FISHI_152_2mm_rep2_AO_000015_vign000092.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_93,20190514_FISHI_152_2mm_rep2_AO_000015_vign000093.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000015_particle_94,20190514_FISHI_152_2mm_rep2_AO_000015_vign000094.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000016_particle_95,20190514_FISHI_152_2mm_rep2_AO_000016_vign000095.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000016_particle_96,20190514_FISHI_152_2mm_rep2_AO_000016_vign000096.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000016_particle_97,20190514_FISHI_152_2mm_rep2_AO_000016_vign000097.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000016_particle_98,20190514_FISHI_152_2mm_rep2_AO_000016_vign000098.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000016_particle_99,20190514_FISHI_152_2mm_rep2_AO_000016_vign000099.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_100,20190514_FISHI_152_2mm_rep2_AO_000017_vign000100.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_101,20190514_FISHI_152_2mm_rep2_AO_000017_vign000101.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_102,20190514_FISHI_152_2mm_rep2_AO_000017_vign000102.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_103,20190514_FISHI_152_2mm_rep2_AO_000017_vign000103.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000017_particle_104,20190514_FISHI_152_2mm_rep2_AO_000017_vign000104.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_105,20190514_FISHI_152_2mm_rep2_AO_000017_vign000105.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000017_particle_106,20190514_FISHI_152_2mm_rep2_AO_000017_vign000106.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000017_particle_107,20190514_FISHI_152_2mm_rep2_AO_000017_vign000107.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000017_particle_108,20190514_FISHI_152_2mm_rep2_AO_000017_vign000108.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000017_particle_109,20190514_FISHI_152_2mm_rep2_AO_000017_vign000109.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000017_particle_110,20190514_FISHI_152_2mm_rep2_AO_000017_vign000110.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000018_particle_111,20190514_FISHI_152_2mm_rep2_AO_000018_vign000111.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000018_particle_112,20190514_FISHI_152_2mm_rep2_AO_000018_vign000112.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000018_particle_113,20190514_FISHI_152_2mm_rep2_AO_000018_vign000113.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_114,20190514_FISHI_152_2mm_rep2_AO_000019_vign000114.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_115,20190514_FISHI_152_2mm_rep2_AO_000019_vign000115.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_116,20190514_FISHI_152_2mm_rep2_AO_000019_vign000116.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_117,20190514_FISHI_152_2mm_rep2_AO_000019_vign000117.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_118,20190514_FISHI_152_2mm_rep2_AO_000019_vign000118.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_119,20190514_FISHI_152_2mm_rep2_AO_000019_vign000119.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_120,20190514_FISHI_152_2mm_rep2_AO_000019_vign000120.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_121,20190514_FISHI_152_2mm_rep2_AO_000019_vign000121.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_122,20190514_FISHI_152_2mm_rep2_AO_000019_vign000122.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000019_particle_123,20190514_FISHI_152_2mm_rep2_AO_000019_vign000123.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000020_particle_124,20190514_FISHI_152_2mm_rep2_AO_000020_vign000124.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000020_particle_125,20190514_FISHI_152_2mm_rep2_AO_000020_vign000125.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000020_particle_126,20190514_FISHI_152_2mm_rep2_AO_000020_vign000126.png,Chironomid
20190514_FISHI_152_2mm_rep2_AO_000020_particle_127,20190514_FISHI_152_2mm_rep2_AO_000020_vign000127.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000020_particle_128,20190514_FISHI_152_2mm_rep2_AO_000020_vign000128.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000021_particle_129,20190514_FISHI_152_2mm_rep2_AO_000021_vign000129.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000021_particle_130,20190514_FISHI_152_2mm_rep2_AO_000021_vign000130.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000021_particle_131,20190514_FISHI_152_2mm_rep2_AO_000021_vign000131.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000022_particle_132,20190514_FISHI_152_2mm_rep2_AO_000022_vign000132.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000022_particle_133,20190514_FISHI_152_2mm_rep2_AO_000022_vign000133.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000022_particle_134,20190514_FISHI_152_2mm_rep2_AO_000022_vign000134.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000022_particle_135,20190514_FISHI_152_2mm_rep2_AO_000022_vign000135.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000022_particle_136,20190514_FISHI_152_2mm_rep2_AO_000022_vign000136.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000023_particle_137,20190514_FISHI_152_2mm_rep2_AO_000023_vign000137.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000023_particle_138,20190514_FISHI_152_2mm_rep2_AO_000023_vign000138.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000023_particle_139,20190514_FISHI_152_2mm_rep2_AO_000023_vign000139.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000023_particle_140,20190514_FISHI_152_2mm_rep2_AO_000023_vign000140.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000024_particle_141,20190514_FISHI_152_2mm_rep2_AO_000024_vign000141.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000024_particle_142,20190514_FISHI_152_2mm_rep2_AO_000024_vign000142.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000024_particle_143,20190514_FISHI_152_2mm_rep2_AO_000024_vign000143.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000024_particle_144,20190514_FISHI_152_2mm_rep2_AO_000024_vign000144.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000025_particle_145,20190514_FISHI_152_2mm_rep2_AO_000025_vign000145.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000025_particle_146,20190514_FISHI_152_2mm_rep2_AO_000025_vign000146.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000025_particle_147,20190514_FISHI_152_2mm_rep2_AO_000025_vign000147.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000025_particle_148,20190514_FISHI_152_2mm_rep2_AO_000025_vign000148.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000025_particle_149,20190514_FISHI_152_2mm_rep2_AO_000025_vign000149.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000026_particle_150,20190514_FISHI_152_2mm_rep2_AO_000026_vign000150.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000026_particle_151,20190514_FISHI_152_2mm_rep2_AO_000026_vign000151.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000026_particle_152,20190514_FISHI_152_2mm_rep2_AO_000026_vign000152.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000026_particle_153,20190514_FISHI_152_2mm_rep2_AO_000026_vign000153.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000027_particle_154,20190514_FISHI_152_2mm_rep2_AO_000027_vign000154.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000027_particle_155,20190514_FISHI_152_2mm_rep2_AO_000027_vign000155.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000027_particle_156,20190514_FISHI_152_2mm_rep2_AO_000027_vign000156.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000027_particle_157,20190514_FISHI_152_2mm_rep2_AO_000027_vign000157.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000028_particle_158,20190514_FISHI_152_2mm_rep2_AO_000028_vign000158.png,Chironomid
20190514_FISHI_152_2mm_rep2_AO_000028_particle_159,20190514_FISHI_152_2mm_rep2_AO_000028_vign000159.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000029_particle_160,20190514_FISHI_152_2mm_rep2_AO_000029_vign000160.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000029_particle_161,20190514_FISHI_152_2mm_rep2_AO_000029_vign000161.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000029_particle_162,20190514_FISHI_152_2mm_rep2_AO_000029_vign000162.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000029_particle_163,20190514_FISHI_152_2mm_rep2_AO_000029_vign000163.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000030_particle_164,20190514_FISHI_152_2mm_rep2_AO_000030_vign000164.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_165,20190514_FISHI_152_2mm_rep2_AO_000031_vign000165.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000031_particle_166,20190514_FISHI_152_2mm_rep2_AO_000031_vign000166.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_167,20190514_FISHI_152_2mm_rep2_AO_000031_vign000167.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_168,20190514_FISHI_152_2mm_rep2_AO_000031_vign000168.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_169,20190514_FISHI_152_2mm_rep2_AO_000031_vign000169.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_170,20190514_FISHI_152_2mm_rep2_AO_000031_vign000170.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000031_particle_171,20190514_FISHI_152_2mm_rep2_AO_000031_vign000171.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000032_particle_172,20190514_FISHI_152_2mm_rep2_AO_000032_vign000172.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000032_particle_173,20190514_FISHI_152_2mm_rep2_AO_000032_vign000173.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000032_particle_174,20190514_FISHI_152_2mm_rep2_AO_000032_vign000174.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000033_particle_175,20190514_FISHI_152_2mm_rep2_AO_000033_vign000175.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000033_particle_176,20190514_FISHI_152_2mm_rep2_AO_000033_vign000176.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000033_particle_177,20190514_FISHI_152_2mm_rep2_AO_000033_vign000177.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000033_particle_178,20190514_FISHI_152_2mm_rep2_AO_000033_vign000178.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000033_particle_179,20190514_FISHI_152_2mm_rep2_AO_000033_vign000179.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000033_particle_180,20190514_FISHI_152_2mm_rep2_AO_000033_vign000180.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_181,20190514_FISHI_152_2mm_rep2_AO_000034_vign000181.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_182,20190514_FISHI_152_2mm_rep2_AO_000034_vign000182.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_183,20190514_FISHI_152_2mm_rep2_AO_000034_vign000183.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_184,20190514_FISHI_152_2mm_rep2_AO_000034_vign000184.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_185,20190514_FISHI_152_2mm_rep2_AO_000034_vign000185.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000034_particle_186,20190514_FISHI_152_2mm_rep2_AO_000034_vign000186.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000035_particle_187,20190514_FISHI_152_2mm_rep2_AO_000035_vign000187.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000035_particle_188,20190514_FISHI_152_2mm_rep2_AO_000035_vign000188.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000035_particle_189,20190514_FISHI_152_2mm_rep2_AO_000035_vign000189.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000035_particle_190,20190514_FISHI_152_2mm_rep2_AO_000035_vign000190.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000036_particle_191,20190514_FISHI_152_2mm_rep2_AO_000036_vign000191.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000036_particle_192,20190514_FISHI_152_2mm_rep2_AO_000036_vign000192.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000037_particle_193,20190514_FISHI_152_2mm_rep2_AO_000037_vign000193.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000037_particle_194,20190514_FISHI_152_2mm_rep2_AO_000037_vign000194.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000037_particle_195,20190514_FISHI_152_2mm_rep2_AO_000037_vign000195.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000037_particle_196,20190514_FISHI_152_2mm_rep2_AO_000037_vign000196.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000038_particle_197,20190514_FISHI_152_2mm_rep2_AO_000038_vign000197.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000038_particle_198,20190514_FISHI_152_2mm_rep2_AO_000038_vign000198.png,Bosmina_1
